id,Question,Answer,Category,General Category,Type
23,Explain the stereochemical outcome of HBr addition to but-2-ene.,The addition leads to a racemic mixture because the planar intermediate carbocation allows nucleophilic attack from both sides with equal likelihood.,But-2-ene HBr Addition,Isomers,Explain
24,Highlight the reasons why the product of HBr addition to but-2-ene does not rotate plane-polarized light.,The racemic mixture formed from equal attack on the planar intermediate lacks optical activity.,But-2-ene HBr Addition,Isomers,Highlight
25,Compare the reactivity of phenol and nitrobenzene towards electrophilic substitution.,"Phenol is more reactive than nitrobenzene because the electron-donating -OH group increases the electron density of the benzene ring, making it more susceptible to electrophilic attack. Conversely, the electron-withdrawing -NO2 group in nitrobenzene decreases the electron density, reducing its reactivity.",Phenol vs Nitrobenzene Reactivity,Reactivity,Compare
26,Why is phenol more reactive than nitrobenzene in electrophilic reactions?,"Phenol's -OH group donates electrons to the benzene ring, enhancing reactivity, whereas nitrobenzene's -NO2 group withdraws electrons, decreasing reactivity.",Phenol vs Nitrobenzene Reactivity,Reactivity,Why
27,Discuss the contrasting reactivity of phenol and nitrobenzene in aromatic substitution.,"The -OH group in phenol increases electron density on the ring, while the -NO2 group in nitrobenzene decreases it, affecting their reactivity differently.",Phenol vs Nitrobenzene Reactivity,Reactivity,Discuss
28,Analyze how substituents affect the electrophilic substitution of phenol versus nitrobenzene.,"Substituents like -OH enhance reactivity by donating electrons, while -NO2 decreases reactivity by withdrawing electrons from the benzene ring.",Phenol vs Nitrobenzene Reactivity,Reactivity,Analyze
29,Explain the difference in reactivity between phenol and nitrobenzene in electrophilic substitution reactions.,"Phenol reacts faster due to the activating -OH group, while nitrobenzene reacts slower because of the deactivating -NO2 group.",Phenol vs Nitrobenzene Reactivity,Reactivity,Explain
30,Explain why CH3OH is less acidic than H2O.,"The conjugate base of CH3OH (CH3O⁻) is less stable than OH⁻ due to the electron-donating alkyl group intensifying the negative charge on oxygen, making CH3OH less acidic than H2O.",Methanol vs Water Acidity,Acidity,Explain
31,Why is methanol less acidic compared to water?,"Methanol's conjugate base is destabilized by the electron-donating methyl group, reducing its acidity compared to water.",Methanol vs Water Acidity,Acidity,Why
32,Discuss the factors that make H2O more acidic than CH3OH.,"Water's conjugate base is more stable due to the absence of electron-donating groups, making it more acidic than methanol.",Methanol vs Water Acidity,Acidity,Discuss
33,Analyze the acidity difference between methanol and water.,"Water is more acidic because its conjugate base is not destabilized by any alkyl group, unlike methanol.",Methanol vs Water Acidity,Acidity,Analyze
34,Explain how the methyl group affects the acidity of methanol compared to water.,"The electron-donating methyl group in methanol destabilizes its conjugate base, making it less acidic than water.",Methanol vs Water Acidity,Acidity,Explain
35,"Compare and explain the acidity of alcohols, phenols, and carboxylic acids.","The stability of the conjugate base determines acidity: carboxylic acids > phenols > alcohols. Carboxylic acids have resonance delocalization over two electronegative oxygen atoms, phenols delocalize the charge into the benzene ring, and alcohols lack such stabilizing effects.",Comparative Acidity,Acidity,Compare
36,Why are carboxylic acids stronger acids than phenols and alcohols?,"Carboxylic acids' conjugate bases are resonance-stabilized across two oxygen atoms, whereas phenols and alcohols lack equivalent stabilization.",Comparative Acidity,Acidity,Why
37,"Discuss the acidity trends among alcohols, phenols, and carboxylic acids.",Acidity increases from alcohols to phenols to carboxylic acids due to increasing conjugate base stability via resonance and electronegativity effects.,Comparative Acidity,Acidity,Discuss
38,Analyze why phenols are more acidic than alcohols but less acidic than carboxylic acids.,"Phenols' conjugate bases are stabilized by resonance within the aromatic ring, but carboxylic acids have greater stabilization due to resonance across two oxygen atoms.",Comparative Acidity,Acidity,Analyze
39,"Explain the factors contributing to the acidity differences among carboxylic acids, phenols, and alcohols.","Carboxylic acids are strongest due to resonance and electronegativity, phenols are intermediate with partial resonance stabilization, and alcohols are weakest due to the absence of such effects.",Comparative Acidity,Acidity,Explain
